title,Yes Percentage
lamb-curry--serves-4-,100.0
chicory-and-roquefort-salad,100.0
old-fashioned-welsh-rarebit,100.0
sardine spread,100.0
jam-drop-biscuits,100.0
halloumi-and-figs,100.0
scone-pastry,100.0
frugal-beef-stew,100.0
fiery-bean-and-avocado-dip,100.0
easy-coconut-rice,100.0
spiced-guava-cake,100.0
cloud-bread,100.0
rouille,100.0
brown sugar shortbread,100.0
busters-liver-dinner,100.0
apple-pumpkin-spread,100.0
best-ever-margarita,100.0
butternut-squash-pastry-for-pies,100.0
easy strawberry tart,90.0
very-vanilla-ry-cheesecake,85.71428571428571
fusilli-and-meatballs,83.33333333333334
creamy-chayote-squash-soup,83.33333333333334
warm-puy-lentil-and-tomato-salad,80.0
almost no fat banana bread,80.0
simple-basic-cupcakes,77.77777777777779
strawberry-tiramisu-trifle,77.77777777777779
slow cooker butter chicken,76.92307692307693
chocolate-pancake-batter,75.0
vegetable-terrine,73.33333333333333
balsamic-and-mozzarella-chicken,73.33333333333333
peppers-with-tuna-and-mushrooms,72.22222222222221
no-sugar-rock-cakes,69.23076923076923
lemon-zested-strawberry-shortcakes,67.64705882352942
spicy-tomato-anchovy-pasta,66.66666666666666
almond and apple cake,66.66666666666666
one-pot irish stew,66.66666666666666
green-tofu-curry,66.66666666666666
chicken-prawn-and-rice-soup,63.63636363636363
lightly spiced tomato and red lentil soup,61.904761904761905
curried bbq mussels,61.111111111111114
spiced-pumpkin-teabread,60.526315789473685
chocolate-chocolate-cake,60.3448275862069
chicken and vegetable pie,59.25925925925925
tortellini-fritto-with-almond-butter,57.14285714285714
strawberries-in-pimm-s,55.55555555555556
feta-and-sundried-tomato-spinach-rolls,54.54545454545454
banana-split-cake,53.333333333333336
spiced butternut squash soup,52.38095238095239
tangy-gammon-in-cider,50.0
black-rice-pudding,50.0
white bread,48.275862068965516
cranachan,41.66666666666667
tomato and basil salad,37.5
smoked-salmon-and-grapefruit-salad,33.33333333333333
spanish-rabbit-stew,33.33333333333333
shellabina-s-corned-beef-hash,33.33333333333333
