title,Yes Percentage
almond and apple cake,100.0
easy strawberry tart,100.0
frugal-beef-stew,100.0
halloumi-and-figs,100.0
jam-drop-biscuits,100.0
old-fashioned-welsh-rarebit,100.0
one-pot irish stew,100.0
rouille,100.0
sardine spread,100.0
scone-pastry,100.0
shellabina-s-corned-beef-hash,100.0
simple-basic-cupcakes,100.0
slow cooker butter chicken,100.0
strawberries-in-pimm-s,100.0
tomato and basil salad,100.0
tortellini-fritto-with-almond-butter,100.0
very-vanilla-ry-cheesecake,100.0
easy-coconut-rice,100.0
lamb-curry--serves-4-,100.0
butternut-squash-pastry-for-pies,100.0
brown sugar shortbread,100.0
apple-pumpkin-spread,100.0
balsamic-and-mozzarella-chicken,100.0
best-ever-margarita,100.0
black-rice-pudding,100.0
white bread,100.0
cranachan,100.0
spiced butternut squash soup,98.93617021276596
vegetable-terrine,98.66666666666667
spiced-pumpkin-teabread,98.11320754716981
chocolate-chocolate-cake,97.6878612716763
banana-split-cake,97.5
chocolate-pancake-batter,96.7741935483871
chicken and vegetable pie,96.7741935483871
peppers-with-tuna-and-mushrooms,96.29629629629629
creamy-chayote-squash-soup,95.83333333333334
no-sugar-rock-cakes,95.65217391304348
chicken-prawn-and-rice-soup,94.64285714285714
curried bbq mussels,94.5945945945946
tangy-gammon-in-cider,92.85714285714286
fusilli-and-meatballs,91.66666666666666
smoked-salmon-and-grapefruit-salad,90.9090909090909
spanish-rabbit-stew,90.38461538461539
warm-puy-lentil-and-tomato-salad,90.0
strawberry-tiramisu-trifle,88.88888888888889
lightly spiced tomato and red lentil soup,88.88888888888889
feta-and-sundried-tomato-spinach-rolls,88.0
almost no fat banana bread,87.5
cloud-bread,86.95652173913044
busters-liver-dinner,83.33333333333334
spicy-tomato-anchovy-pasta,83.33333333333334
spiced-guava-cake,78.125
lemon-zested-strawberry-shortcakes,62.7906976744186
green-tofu-curry,53.333333333333336
chicory-and-roquefort-salad,50.0
kid-s-cheese-and-veg-kebab,50.0
