plan_idx,title,question_idx,steps,question_type,step_pair_idx_asked_about,binary_question,why_question,model_name,prompt_key,model_input,binary_answer,why_answer,cluster
4,chocolate-chocolate-cake,4,"['Preheat the oven to 180 degrees C / Gas Mark 4.', 'Place the chocolate chips, coffee and water in a microwave safe bowl.', 'Microwave until chocolate is almost melted.', 'Remove and whisk until mixture is smooth.', 'Set aside to cool.', 'Using a hand held mixer, beat butter and margarine together in a large bowl until creamy.', 'Gradually beat in sugar until light and fluffy.', 'Gradually beat in egg yolks one at a time, beating well after each one.', 'Slowly add the flour and beat at a low speed.', 'Add the cooled chocolate to the mix and beat again.', 'In a separate bowl, beat egg whites until foamy.', 'Then increase speed and beat until stiff.', 'Fold egg white mixture, one third at a time, into the chocolate mixture until blended thoroughly.', 'Grease a 23cm springform tin or a cake tin with deep sides.', 'Wrap the bottom of the tin securely with greaseproof paper or foil, so it comes up about 1 .5cm on the sides.', 'Pour the mixture into the cake tin.', 'Bake for I hour.', 'The cake is ready when a skewer inserted about 1 .5cm from the side of the tin comes out clean.', 'Note that the cake is very dense, so the top may crack when baking.', 'Cool in the tin for 10 minutes to allow the cake to set.', 'Then remove from the tin, and allow to cool completely, which may take several hours.', 'Sift icing sugar lightly over the top for decoration.']",dependent_real_after,"[0, 20]",Must Step 21 happen after Step 1?,Why must Step 21 happen after Step 1?,gpt-3.5-turbo-1106,basic_binary_explain,"Given a goal, a procedure to achieve that goal and a question about the steps in the procedure, you are required to answer the questions.

Goal: chocolate-chocolate-cake

Procedure:
1. Preheat the oven to 180 degrees C / Gas Mark 4.
2. Place the chocolate chips, coffee and water in a microwave safe bowl.
3. Microwave until chocolate is almost melted.
4. Remove and whisk until mixture is smooth.
5. Set aside to cool.
6. Using a hand held mixer, beat butter and margarine together in a large bowl until creamy.
7. Gradually beat in sugar until light and fluffy.
8. Gradually beat in egg yolks one at a time, beating well after each one.
9. Slowly add the flour and beat at a low speed.
10. Add the cooled chocolate to the mix and beat again.
11. In a separate bowl, beat egg whites until foamy.
12. Then increase speed and beat until stiff.
13. Fold egg white mixture, one third at a time, into the chocolate mixture until blended thoroughly.
14. Grease a 23cm springform tin or a cake tin with deep sides.
15. Wrap the bottom of the tin securely with greaseproof paper or foil, so it comes up about 1 .5cm on the sides.
16. Pour the mixture into the cake tin.
17. Bake for I hour.
18. The cake is ready when a skewer inserted about 1 .5cm from the side of the tin comes out clean.
19. Note that the cake is very dense, so the top may crack when baking.
20. Cool in the tin for 10 minutes to allow the cake to set.
21. Then remove from the tin, and allow to cool completely, which may take several hours.
22. Sift icing sugar lightly over the top for decoration.


1. Must Step 21 happen after Step 1?
2. Explain why or why not.

Format your answer as JSON with the key value pairs ""binary_answer"": ""yes/no answer to Q1"", ""why_answer"": ""one sentence answer to Q2""",no,"No, Step 21 does not have to happen after Step 1. Step 21 happens after the cake has been baked and cooled, while Step 1 is the preheating of the oven before baking.",0
6,spiced butternut squash soup,6,"['Preheat the oven to 190 C / Gas mark 6.', 'Pour a small layer of water in a baking dish, or a swiss roll tin.', 'Place the squash halves cut side down on the dish.', 'Bake for about 40 minutes, or until a fork can easily pierce the flesh.', 'Cool slightly, then remove the peel.', 'Set aside.', 'Melt the butter in a large pot over medium heat.', 'Add the onion, leek and garlic, and saute for a few minutes, until tender.', 'Pour the chicken stock into the pot.', 'Add the potatoes, and bring to the boil.', 'Cook for about 20 minutes, or until soft.', 'Add the squash, and mash with the potatoes until chunks are small.', 'Use an immersion hand blender to puree the soup, or transfer to a blender or food processor in batches, and puree until smooth.', 'Return to the pot.', 'Season the soup with cayenne pepper, allspice, nutmeg, ginger, salt and pepper, then stir in the sherry, cream and milk.', 'Heat through, but do not boil.', 'Ladle into bowls, and top with a dollop of soured cream if desired.']",dependent_real_after,"[1, 14]",Must Step 15 happen after Step 2?,Why must Step 15 happen after Step 2?,gpt-3.5-turbo-1106,basic_binary_explain,"Given a goal, a procedure to achieve that goal and a question about the steps in the procedure, you are required to answer the questions.

Goal: spiced butternut squash soup

Procedure:
1. Preheat the oven to 190 C / Gas mark 6.
2. Pour a small layer of water in a baking dish, or a swiss roll tin.
3. Place the squash halves cut side down on the dish.
4. Bake for about 40 minutes, or until a fork can easily pierce the flesh.
5. Cool slightly, then remove the peel.
6. Set aside.
7. Melt the butter in a large pot over medium heat.
8. Add the onion, leek and garlic, and saute for a few minutes, until tender.
9. Pour the chicken stock into the pot.
10. Add the potatoes, and bring to the boil.
11. Cook for about 20 minutes, or until soft.
12. Add the squash, and mash with the potatoes until chunks are small.
13. Use an immersion hand blender to puree the soup, or transfer to a blender or food processor in batches, and puree until smooth.
14. Return to the pot.
15. Season the soup with cayenne pepper, allspice, nutmeg, ginger, salt and pepper, then stir in the sherry, cream and milk.
16. Heat through, but do not boil.
17. Ladle into bowls, and top with a dollop of soured cream if desired.


1. Must Step 15 happen after Step 2?
2. Explain why or why not.

Format your answer as JSON with the key value pairs ""binary_answer"": ""yes/no answer to Q1"", ""why_answer"": ""one sentence answer to Q2""",no,Step 15 does not need to happen after Step 2 because they are unrelated steps in the procedure.,3
7,spiced butternut squash soup,7,"['Preheat the oven to 190 C / Gas mark 6.', 'Pour a small layer of water in a baking dish, or a swiss roll tin.', 'Place the squash halves cut side down on the dish.', 'Bake for about 40 minutes, or until a fork can easily pierce the flesh.', 'Cool slightly, then remove the peel.', 'Set aside.', 'Melt the butter in a large pot over medium heat.', 'Add the onion, leek and garlic, and saute for a few minutes, until tender.', 'Pour the chicken stock into the pot.', 'Add the potatoes, and bring to the boil.', 'Cook for about 20 minutes, or until soft.', 'Add the squash, and mash with the potatoes until chunks are small.', 'Use an immersion hand blender to puree the soup, or transfer to a blender or food processor in batches, and puree until smooth.', 'Return to the pot.', 'Season the soup with cayenne pepper, allspice, nutmeg, ginger, salt and pepper, then stir in the sherry, cream and milk.', 'Heat through, but do not boil.', 'Ladle into bowls, and top with a dollop of soured cream if desired.']",dependent_real_after,"[3, 14]",Must Step 15 happen after Step 4?,Why must Step 15 happen after Step 4?,gpt-3.5-turbo-1106,basic_binary_explain,"Given a goal, a procedure to achieve that goal and a question about the steps in the procedure, you are required to answer the questions.

Goal: spiced butternut squash soup

Procedure:
1. Preheat the oven to 190 C / Gas mark 6.
2. Pour a small layer of water in a baking dish, or a swiss roll tin.
3. Place the squash halves cut side down on the dish.
4. Bake for about 40 minutes, or until a fork can easily pierce the flesh.
5. Cool slightly, then remove the peel.
6. Set aside.
7. Melt the butter in a large pot over medium heat.
8. Add the onion, leek and garlic, and saute for a few minutes, until tender.
9. Pour the chicken stock into the pot.
10. Add the potatoes, and bring to the boil.
11. Cook for about 20 minutes, or until soft.
12. Add the squash, and mash with the potatoes until chunks are small.
13. Use an immersion hand blender to puree the soup, or transfer to a blender or food processor in batches, and puree until smooth.
14. Return to the pot.
15. Season the soup with cayenne pepper, allspice, nutmeg, ginger, salt and pepper, then stir in the sherry, cream and milk.
16. Heat through, but do not boil.
17. Ladle into bowls, and top with a dollop of soured cream if desired.


1. Must Step 15 happen after Step 4?
2. Explain why or why not.

Format your answer as JSON with the key value pairs ""binary_answer"": ""yes/no answer to Q1"", ""why_answer"": ""one sentence answer to Q2""",no,"Step 15 does not need to happen after Step 4, as the squash can be prepared and set aside before the seasoning and heating through steps.",3
8,vegetable-terrine,8,"['Add the gelatin in a bowl of cold water until soft.', 'Heat the stock and cook the vegetables one after the other in the stock (15 minutes for the carrots and beans, 10 minutes for courgettes and celeriac, 5 minutes for the peas).', 'Run the vegetables under cold water to stop them cooking.', 'Wash the sorrel, add the olive oil to a frying pan and cook for 3 minutes, chop then set aside.', 'In a saucepan, bring cream and yogurt to the boil.', 'Add the chopped sorrel and gelatin.', 'Mix well and remove from heat.', 'Set aside and cool for a few minutes.', 'Pour approximately 1cm of the cream mixture into a mould and refrigerate.', 'It is better to use a silicone mould, it will be easier to remove for serving.', 'Arrange the vegetables, alternating according to shape, starting with the matchstick vegetables on the bottom and peas in the middle.', 'Pour the remaining cream mixture on top.', 'Refrigerate the terrine for several hours until firm.', ""If you did'nt use a silicone mould, immerse the mould in boiling water then turn it over - it should release."", 'Serve chilled.']",dependent_real_after,"[4, 10]",Must Step 11 happen after Step 5?,Why must Step 11 happen after Step 5?,gpt-3.5-turbo-1106,basic_binary_explain,"Given a goal, a procedure to achieve that goal and a question about the steps in the procedure, you are required to answer the questions.

Goal: vegetable-terrine

Procedure:
1. Add the gelatin in a bowl of cold water until soft.
2. Heat the stock and cook the vegetables one after the other in the stock (15 minutes for the carrots and beans, 10 minutes for courgettes and celeriac, 5 minutes for the peas).
3. Run the vegetables under cold water to stop them cooking.
4. Wash the sorrel, add the olive oil to a frying pan and cook for 3 minutes, chop then set aside.
5. In a saucepan, bring cream and yogurt to the boil.
6. Add the chopped sorrel and gelatin.
7. Mix well and remove from heat.
8. Set aside and cool for a few minutes.
9. Pour approximately 1cm of the cream mixture into a mould and refrigerate.
10. It is better to use a silicone mould, it will be easier to remove for serving.
11. Arrange the vegetables, alternating according to shape, starting with the matchstick vegetables on the bottom and peas in the middle.
12. Pour the remaining cream mixture on top.
13. Refrigerate the terrine for several hours until firm.
14. If you did'nt use a silicone mould, immerse the mould in boiling water then turn it over - it should release.
15. Serve chilled.


1. Must Step 11 happen after Step 5?
2. Explain why or why not.

Format your answer as JSON with the key value pairs ""binary_answer"": ""yes/no answer to Q1"", ""why_answer"": ""one sentence answer to Q2""",no,"Step 11 does not have to happen after Step 5, as the steps are independent of each other and can be done in any order.",3
10,jam-drop-biscuits,10,"['Beat butter until fluffy and gradually add the sugar, vanilla sugar and eggs.', 'Sieve in flour and fold in.', 'Chill for at least 30 minutes.', 'Form small balls from the biscuit dough and roll in ground hazelnuts.', 'Make a hollow into each ball with the end of a wooden spoon and place onto a baking tray lined with baking parchment.', 'Fill the holes with jam and bake in a preheated oven at 170 C / Gas 3 for 20 minutes.']",dependent_real_after,"[1, 3]",Must Step 4 happen after Step 2?,Why must Step 4 happen after Step 2?,gpt-3.5-turbo-1106,basic_binary_explain,"Given a goal, a procedure to achieve that goal and a question about the steps in the procedure, you are required to answer the questions.

Goal: jam-drop-biscuits

Procedure:
1. Beat butter until fluffy and gradually add the sugar, vanilla sugar and eggs.
2. Sieve in flour and fold in.
3. Chill for at least 30 minutes.
4. Form small balls from the biscuit dough and roll in ground hazelnuts.
5. Make a hollow into each ball with the end of a wooden spoon and place onto a baking tray lined with baking parchment.
6. Fill the holes with jam and bake in a preheated oven at 170 C / Gas 3 for 20 minutes.


1. Must Step 4 happen after Step 2?
2. Explain why or why not.

Format your answer as JSON with the key value pairs ""binary_answer"": ""yes/no answer to Q1"", ""why_answer"": ""one sentence answer to Q2""",no,"Step 4 can happen after Step 2, but it doesn't have to happen immediately after. The dough needs to be chilled for at least 30 minutes before forming into balls and rolling in ground hazelnuts.",3
14,fusilli-and-meatballs,14,"['Coat a large saucepan with cooking spray or a teaspoon of olive oil and set over a medium-high heat.', 'Sauté the onion and garlic for about 5 minutes or until soft.', 'Transfer 2 tablespoons of the onion mixture to a large bowl.', 'Set aside.', 'Whiz the tomatoes, with their juice, in a food processor until fairly smooth.', 'Add to the saucepan.', 'Bring to the boil over medium-high heat.', 'Reduce the heat to medium-low.', 'Cover and simmer, stirring often, for 30 minutes.', 'Add the basil and oregano halfway through this time.', 'Process the bread until crumbs form.', 'Add the crumbs, beef, egg, milk and pepper to the onion mixture in the bowl and mix just until blended.', 'Shape into 20 meatballs about 2.5cm (1in) diameter.', 'Coat a frying pan with cooking spray or olive oil and set over medium-high heat.', 'Cook the meatballs, in batches, for about 8 minutes or until browned on all sides.', 'Drain on kitchen paper.', 'Add the meatballs to the tomato sauce.', 'Cover and cook, stirring occasionally, for 20 minutes.', 'Meanwhile, cook the pasta according to the instructions on the packet.', 'Drain and toss with 3 ladlefuls of the sauce in a large heated serving bowl.', 'Spoon the meatballs and remaining sauce over the top, then serve.']",dependent_real_after,"[14, 19]",Must Step 20 happen after Step 15?,Why must Step 20 happen after Step 15?,gpt-3.5-turbo-1106,basic_binary_explain,"Given a goal, a procedure to achieve that goal and a question about the steps in the procedure, you are required to answer the questions.

Goal: fusilli-and-meatballs

Procedure:
1. Coat a large saucepan with cooking spray or a teaspoon of olive oil and set over a medium-high heat.
2. Sauté the onion and garlic for about 5 minutes or until soft.
3. Transfer 2 tablespoons of the onion mixture to a large bowl.
4. Set aside.
5. Whiz the tomatoes, with their juice, in a food processor until fairly smooth.
6. Add to the saucepan.
7. Bring to the boil over medium-high heat.
8. Reduce the heat to medium-low.
9. Cover and simmer, stirring often, for 30 minutes.
10. Add the basil and oregano halfway through this time.
11. Process the bread until crumbs form.
12. Add the crumbs, beef, egg, milk and pepper to the onion mixture in the bowl and mix just until blended.
13. Shape into 20 meatballs about 2.5cm (1in) diameter.
14. Coat a frying pan with cooking spray or olive oil and set over medium-high heat.
15. Cook the meatballs, in batches, for about 8 minutes or until browned on all sides.
16. Drain on kitchen paper.
17. Add the meatballs to the tomato sauce.
18. Cover and cook, stirring occasionally, for 20 minutes.
19. Meanwhile, cook the pasta according to the instructions on the packet.
20. Drain and toss with 3 ladlefuls of the sauce in a large heated serving bowl.
21. Spoon the meatballs and remaining sauce over the top, then serve.


1. Must Step 20 happen after Step 15?
2. Explain why or why not.

Format your answer as JSON with the key value pairs ""binary_answer"": ""yes/no answer to Q1"", ""why_answer"": ""one sentence answer to Q2""",no,"Step 20 can happen after Step 15, but it does not have to happen immediately after Step 15. The meatballs and sauce can be added to the pasta at any point after the meatballs are cooked.",1
16,simple-basic-cupcakes,16,"['Preheat oven to 180 C / Gas 4.', 'Beat butter and sugar together until light and fluffy.', 'Add the eggs, one at a time, beating after each addition.', 'If the batter is too thick, stir in some milk.', 'Gradually add the flour, mixing well each time until evenly mixed.', 'Spoon tablespoons of batter into a greased muffin tin.', 'Bake in preheated oven for 15-20 minutes.', 'The cake is done when a skewer inserted to the cake comes out clean.', 'Let rest for fives minutes, then allow to cool fully on a wire rack.', 'Decorate, if desired.']",dependent_real_after,"[3, 7]",Must Step 8 happen after Step 4?,Why must Step 8 happen after Step 4?,gpt-3.5-turbo-1106,basic_binary_explain,"Given a goal, a procedure to achieve that goal and a question about the steps in the procedure, you are required to answer the questions.

Goal: simple-basic-cupcakes

Procedure:
1. Preheat oven to 180 C / Gas 4.
2. Beat butter and sugar together until light and fluffy.
3. Add the eggs, one at a time, beating after each addition.
4. If the batter is too thick, stir in some milk.
5. Gradually add the flour, mixing well each time until evenly mixed.
6. Spoon tablespoons of batter into a greased muffin tin.
7. Bake in preheated oven for 15-20 minutes.
8. The cake is done when a skewer inserted to the cake comes out clean.
9. Let rest for fives minutes, then allow to cool fully on a wire rack.
10. Decorate, if desired.


1. Must Step 8 happen after Step 4?
2. Explain why or why not.

Format your answer as JSON with the key value pairs ""binary_answer"": ""yes/no answer to Q1"", ""why_answer"": ""one sentence answer to Q2""",no,"Step 8 can happen after Step 4, but it does not have to happen immediately after Step 4. The cake can be checked for doneness at any time during or after baking.",3
19,jam-drop-biscuits,19,"['Beat butter until fluffy and gradually add the sugar, vanilla sugar and eggs.', 'Sieve in flour and fold in.', 'Chill for at least 30 minutes.', 'Form small balls from the biscuit dough and roll in ground hazelnuts.', 'Make a hollow into each ball with the end of a wooden spoon and place onto a baking tray lined with baking parchment.', 'Fill the holes with jam and bake in a preheated oven at 170 C / Gas 3 for 20 minutes.']",dependent_real_after,"[0, 4]",Must Step 5 happen after Step 1?,Why must Step 5 happen after Step 1?,gpt-3.5-turbo-1106,basic_binary_explain,"Given a goal, a procedure to achieve that goal and a question about the steps in the procedure, you are required to answer the questions.

Goal: jam-drop-biscuits

Procedure:
1. Beat butter until fluffy and gradually add the sugar, vanilla sugar and eggs.
2. Sieve in flour and fold in.
3. Chill for at least 30 minutes.
4. Form small balls from the biscuit dough and roll in ground hazelnuts.
5. Make a hollow into each ball with the end of a wooden spoon and place onto a baking tray lined with baking parchment.
6. Fill the holes with jam and bake in a preheated oven at 170 C / Gas 3 for 20 minutes.


1. Must Step 5 happen after Step 1?
2. Explain why or why not.

Format your answer as JSON with the key value pairs ""binary_answer"": ""yes/no answer to Q1"", ""why_answer"": ""one sentence answer to Q2""",no,"Step 5 must happen after Step 4, as it involves forming the dough into balls and rolling them in ground hazelnuts.",3
21,tangy-gammon-in-cider,21,"['Preheat the oven to 200 degrees /gas mark 6.', 'Start by piercing each tomato once and covering with boiling water to loosen the skins.', 'Drain the onions and chop each one in half.', 'Once the tomatoes have been in the water for 5 minutes, drain, then remove the skins and coarsely chop into largish pieces.', 'Put the onions, tomatoes and apples into a casserole dish.', 'Take a gammon steak, lay flat, and spoon some of the mixture into the middle, then wrap the sides of the steak over the top and secure with a small skewer or piece of raw spaghetti.', 'Place in the dish and repeat with the other gammon steaks.', 'Pour cider over the steaks, cover the top with a lid or tin foil.', 'Cook for 1 hour.']",dependent_real_after,"[1, 5]",Must Step 6 happen after Step 2?,Why must Step 6 happen after Step 2?,gpt-3.5-turbo-1106,basic_binary_explain,"Given a goal, a procedure to achieve that goal and a question about the steps in the procedure, you are required to answer the questions.

Goal: tangy-gammon-in-cider

Procedure:
1. Preheat the oven to 200 degrees /gas mark 6.
2. Start by piercing each tomato once and covering with boiling water to loosen the skins.
3. Drain the onions and chop each one in half.
4. Once the tomatoes have been in the water for 5 minutes, drain, then remove the skins and coarsely chop into largish pieces.
5. Put the onions, tomatoes and apples into a casserole dish.
6. Take a gammon steak, lay flat, and spoon some of the mixture into the middle, then wrap the sides of the steak over the top and secure with a small skewer or piece of raw spaghetti.
7. Place in the dish and repeat with the other gammon steaks.
8. Pour cider over the steaks, cover the top with a lid or tin foil.
9. Cook for 1 hour.


1. Must Step 6 happen after Step 2?
2. Explain why or why not.

Format your answer as JSON with the key value pairs ""binary_answer"": ""yes/no answer to Q1"", ""why_answer"": ""one sentence answer to Q2""",no,"Step 6 does not need to happen after Step 2, as they are independent steps in the procedure.",3
24,spiced-pumpkin-teabread,24,"['Preheat the oven to 180尊C (350尊F, gas mark 4).', 'Line a 900 g (2 lb) loaf tin with baking parchment.', 'Steam the pumpkin flesh, or cook it in just a little boiling water, for 10 minutes or until tender.', 'Drain thoroughly, then mash with a potato masher until smooth.', 'Add the honey and sultanas, and beat well.', 'Sift the wholemeal and white flours and the allspice into a bowl, tipping in any bran left in the sieve.', 'Rub in the butter with your fingertips until the mixture resembles fine breadcrumbs.', 'Add the pumpkin mixture and beat well with a wooden spoon until evenly mixed.', 'Tip the mixture into the prepared tin and smooth the surface.', 'Sprinkle with the pumpkin seeds.', 'Bake for 50 minutes or until the loaf is well risen, golden brown and firm to the touch.', 'Allow the loaf to cool in the tin for 10 minutes, then turn it out onto a wire rack.', 'Gently brush with the 2 tsp honey while still warm.', 'This teabread is best served slightly warm, or within a day of making.']",dependent_real_after,"[8, 12]",Must Step 13 happen after Step 9?,Why must Step 13 happen after Step 9?,gpt-3.5-turbo-1106,basic_binary_explain,"Given a goal, a procedure to achieve that goal and a question about the steps in the procedure, you are required to answer the questions.

Goal: spiced-pumpkin-teabread

Procedure:
1. Preheat the oven to 180尊C (350尊F, gas mark 4).
2. Line a 900 g (2 lb) loaf tin with baking parchment.
3. Steam the pumpkin flesh, or cook it in just a little boiling water, for 10 minutes or until tender.
4. Drain thoroughly, then mash with a potato masher until smooth.
5. Add the honey and sultanas, and beat well.
6. Sift the wholemeal and white flours and the allspice into a bowl, tipping in any bran left in the sieve.
7. Rub in the butter with your fingertips until the mixture resembles fine breadcrumbs.
8. Add the pumpkin mixture and beat well with a wooden spoon until evenly mixed.
9. Tip the mixture into the prepared tin and smooth the surface.
10. Sprinkle with the pumpkin seeds.
11. Bake for 50 minutes or until the loaf is well risen, golden brown and firm to the touch.
12. Allow the loaf to cool in the tin for 10 minutes, then turn it out onto a wire rack.
13. Gently brush with the 2 tsp honey while still warm.
14. This teabread is best served slightly warm, or within a day of making.


1. Must Step 13 happen after Step 9?
2. Explain why or why not.

Format your answer as JSON with the key value pairs ""binary_answer"": ""yes/no answer to Q1"", ""why_answer"": ""one sentence answer to Q2""",no,"Step 13 does not have to happen after Step 9, as it can be done after the loaf has cooled and been turned out onto a wire rack.",3
