plan_idx,title,question_idx,steps,question_type,step_pair_idx_asked_about,binary_question,why_question,model_name,prompt_key,model_input,binary_answer,why_answer,cluster
711,chocolate-chocolate-cake,711,"['Preheat the oven to 180 degrees C / Gas Mark 4.', 'Place the chocolate chips, coffee and water in a microwave safe bowl.', 'Microwave until chocolate is almost melted.', 'Remove and whisk until mixture is smooth.', 'Set aside to cool.', 'Using a hand held mixer, beat butter and margarine together in a large bowl until creamy.', 'Gradually beat in sugar until light and fluffy.', 'Gradually beat in egg yolks one at a time, beating well after each one.', 'Slowly add the flour and beat at a low speed.', 'Add the cooled chocolate to the mix and beat again.', 'In a separate bowl, beat egg whites until foamy.', 'Then increase speed and beat until stiff.', 'Fold egg white mixture, one third at a time, into the chocolate mixture until blended thoroughly.', 'Grease a 23cm springform tin or a cake tin with deep sides.', 'Wrap the bottom of the tin securely with greaseproof paper or foil, so it comes up about 1 .5cm on the sides.', 'Pour the mixture into the cake tin.', 'Bake for I hour.', 'The cake is ready when a skewer inserted about 1 .5cm from the side of the tin comes out clean.', 'Note that the cake is very dense, so the top may crack when baking.', 'Cool in the tin for 10 minutes to allow the cake to set.', 'Then remove from the tin, and allow to cool completely, which may take several hours.', 'Sift icing sugar lightly over the top for decoration.']",nondependent_real_before,"[1, 5]",Must Step 2 happen before Step 6?,Why must Step 2 happen before Step 6?,gpt-4o-2024-05-13,basic_binary_explain,"Given a goal, a procedure to achieve that goal and a question about the steps in the procedure, you are required to answer the questions.

Goal: chocolate-chocolate-cake

Procedure:
1. Preheat the oven to 180 degrees C / Gas Mark 4.
2. Place the chocolate chips, coffee and water in a microwave safe bowl.
3. Microwave until chocolate is almost melted.
4. Remove and whisk until mixture is smooth.
5. Set aside to cool.
6. Using a hand held mixer, beat butter and margarine together in a large bowl until creamy.
7. Gradually beat in sugar until light and fluffy.
8. Gradually beat in egg yolks one at a time, beating well after each one.
9. Slowly add the flour and beat at a low speed.
10. Add the cooled chocolate to the mix and beat again.
11. In a separate bowl, beat egg whites until foamy.
12. Then increase speed and beat until stiff.
13. Fold egg white mixture, one third at a time, into the chocolate mixture until blended thoroughly.
14. Grease a 23cm springform tin or a cake tin with deep sides.
15. Wrap the bottom of the tin securely with greaseproof paper or foil, so it comes up about 1 .5cm on the sides.
16. Pour the mixture into the cake tin.
17. Bake for I hour.
18. The cake is ready when a skewer inserted about 1 .5cm from the side of the tin comes out clean.
19. Note that the cake is very dense, so the top may crack when baking.
20. Cool in the tin for 10 minutes to allow the cake to set.
21. Then remove from the tin, and allow to cool completely, which may take several hours.
22. Sift icing sugar lightly over the top for decoration.


1. Must Step 2 happen before Step 6?
2. Explain why or why not.

Format your answer as JSON with the key value pairs ""binary_answer"": ""yes/no answer to Q1"", ""why_answer"": ""one sentence answer to Q2""",yes,The chocolate mixture needs time to cool before it is added to the batter in Step 10.,1
712,chicken-prawn-and-rice-soup,712,"['Mix together the prawns, chicken, egg and cornflour.', 'Heat 750ml of the oil in wok or deep frying pan.', 'When it is hot, add prawns and chicken mixture.', 'Cook for 1/2 minute and drain.', 'Place above mixture in pot with the stock, mushrooms, water chestnuts, bamboo shoots and green beans.', 'Bring to the boil.', 'Add salt and sherry.', 'Return to the boil.', 'Reduce heat and allow to simmer.', 'Meanwhile, heat the remaining 250ml oil until it is hot.', 'Add rice and brown quickly.', 'Drain and add to soup.', 'Serve and enjoy!']",nondependent_real_before,"[3, 10]",Must Step 4 happen before Step 11?,Why must Step 4 happen before Step 11?,gpt-4o-2024-05-13,basic_binary_explain,"Given a goal, a procedure to achieve that goal and a question about the steps in the procedure, you are required to answer the questions.

Goal: chicken-prawn-and-rice-soup

Procedure:
1. Mix together the prawns, chicken, egg and cornflour.
2. Heat 750ml of the oil in wok or deep frying pan.
3. When it is hot, add prawns and chicken mixture.
4. Cook for 1/2 minute and drain.
5. Place above mixture in pot with the stock, mushrooms, water chestnuts, bamboo shoots and green beans.
6. Bring to the boil.
7. Add salt and sherry.
8. Return to the boil.
9. Reduce heat and allow to simmer.
10. Meanwhile, heat the remaining 250ml oil until it is hot.
11. Add rice and brown quickly.
12. Drain and add to soup.
13. Serve and enjoy!


1. Must Step 4 happen before Step 11?
2. Explain why or why not.

Format your answer as JSON with the key value pairs ""binary_answer"": ""yes/no answer to Q1"", ""why_answer"": ""one sentence answer to Q2""",yes,"Step 4 must happen before Step 11 because the mixture needs to be cooked and drained before it is added to the pot in Step 5, which precedes the browning of the rice in Step 11.",3
714,very-vanilla-ry-cheesecake,714,"['Preheat oven to 150 C / Gas 2 and lightly butter a 26cm springform tin.', 'Place the biscuits into a plastic bag and crush with a rolling pin.', 'Pour the crumbs into a bowl and mix with the scraped seeds of 1 vanilla bean.', 'Drizzle the crumbs with melted butter and stir to combine.', 'Press the crumb mixture firmly into the bottom and up the sides of the springform tin and set aside.', 'Place the softened cream cheese and sugar into the work bowl of an electric mixer and beat for about 3 minutes on Medium speed, until the mixture is smooth.', 'Beat in the eggs one at a time, incorporating each egg before adding the next one.', 'Add the scraped seeds of 2 vanilla beans, vanilla extract, soured cream and double cream and beat on Medium-High speed for about 1 minute, until the mixture is blended and smooth.', 'Pour the mixture into the biscuit base, leaving about 5cm of space from the top of the tin for the cake to expand as it bakes.', 'Place a baking dish onto the bottom rack of the preheated oven and fill it halfway with boiling water.', 'Place the cheesecake onto the middle rack, above the tin of boiling water and bake until a small knife inserted into the middle of the cheesecake comes out clean, about 1 hour and 20 minutes.', 'Turn the oven off and let the cheesecake cool down inside the oven for 1 hour.', 'Cover the cheesecake with cling film, then foil and refrigerate at least 4 hours or overnight before serving.']",nondependent_real_before,"[4, 7]",Must Step 5 happen before Step 8?,Why must Step 5 happen before Step 8?,gpt-4o-2024-05-13,basic_binary_explain,"Given a goal, a procedure to achieve that goal and a question about the steps in the procedure, you are required to answer the questions.

Goal: very-vanilla-ry-cheesecake

Procedure:
1. Preheat oven to 150 C / Gas 2 and lightly butter a 26cm springform tin.
2. Place the biscuits into a plastic bag and crush with a rolling pin.
3. Pour the crumbs into a bowl and mix with the scraped seeds of 1 vanilla bean.
4. Drizzle the crumbs with melted butter and stir to combine.
5. Press the crumb mixture firmly into the bottom and up the sides of the springform tin and set aside.
6. Place the softened cream cheese and sugar into the work bowl of an electric mixer and beat for about 3 minutes on Medium speed, until the mixture is smooth.
7. Beat in the eggs one at a time, incorporating each egg before adding the next one.
8. Add the scraped seeds of 2 vanilla beans, vanilla extract, soured cream and double cream and beat on Medium-High speed for about 1 minute, until the mixture is blended and smooth.
9. Pour the mixture into the biscuit base, leaving about 5cm of space from the top of the tin for the cake to expand as it bakes.
10. Place a baking dish onto the bottom rack of the preheated oven and fill it halfway with boiling water.
11. Place the cheesecake onto the middle rack, above the tin of boiling water and bake until a small knife inserted into the middle of the cheesecake comes out clean, about 1 hour and 20 minutes.
12. Turn the oven off and let the cheesecake cool down inside the oven for 1 hour.
13. Cover the cheesecake with cling film, then foil and refrigerate at least 4 hours or overnight before serving.


1. Must Step 5 happen before Step 8?
2. Explain why or why not.

Format your answer as JSON with the key value pairs ""binary_answer"": ""yes/no answer to Q1"", ""why_answer"": ""one sentence answer to Q2""",yes,Step 5 must happen before Step 8 because the biscuit base needs to be prepared and set aside before the cheesecake mixture is poured into it.,3
715,smoked-salmon-and-grapefruit-salad,715,"['Top and tail the grapefruits.', 'Slice the skin off the grapefruit over a bowl.', 'This is to catch any juices.', 'Using a small knife, segment the grapefruits over the juice bowl.', ""Arrange the lamb's lettuce onto each serving plate or a large salad bowl."", 'Top with grapefruit segments and smoked salmon.', 'Mix together 1 pinch of cracked peppercorns and 1 tablespoon grapefruit juice from the bowl.', 'Pour over the salad and serve.']",nondependent_real_before,"[1, 4]",Must Step 2 happen before Step 5?,Why must Step 2 happen before Step 5?,gpt-4o-2024-05-13,basic_binary_explain,"Given a goal, a procedure to achieve that goal and a question about the steps in the procedure, you are required to answer the questions.

Goal: smoked-salmon-and-grapefruit-salad

Procedure:
1. Top and tail the grapefruits.
2. Slice the skin off the grapefruit over a bowl.
3. This is to catch any juices.
4. Using a small knife, segment the grapefruits over the juice bowl.
5. Arrange the lamb's lettuce onto each serving plate or a large salad bowl.
6. Top with grapefruit segments and smoked salmon.
7. Mix together 1 pinch of cracked peppercorns and 1 tablespoon grapefruit juice from the bowl.
8. Pour over the salad and serve.


1. Must Step 2 happen before Step 5?
2. Explain why or why not.

Format your answer as JSON with the key value pairs ""binary_answer"": ""yes/no answer to Q1"", ""why_answer"": ""one sentence answer to Q2""",yes,Step 2 must happen before Step 5 to ensure the grapefruit segments and juice are prepared and ready to be added to the salad.,1
716,fusilli-and-meatballs,716,"['Coat a large saucepan with cooking spray or a teaspoon of olive oil and set over a medium-high heat.', 'Sauté the onion and garlic for about 5 minutes or until soft.', 'Transfer 2 tablespoons of the onion mixture to a large bowl.', 'Set aside.', 'Whiz the tomatoes, with their juice, in a food processor until fairly smooth.', 'Add to the saucepan.', 'Bring to the boil over medium-high heat.', 'Reduce the heat to medium-low.', 'Cover and simmer, stirring often, for 30 minutes.', 'Add the basil and oregano halfway through this time.', 'Process the bread until crumbs form.', 'Add the crumbs, beef, egg, milk and pepper to the onion mixture in the bowl and mix just until blended.', 'Shape into 20 meatballs about 2.5cm (1in) diameter.', 'Coat a frying pan with cooking spray or olive oil and set over medium-high heat.', 'Cook the meatballs, in batches, for about 8 minutes or until browned on all sides.', 'Drain on kitchen paper.', 'Add the meatballs to the tomato sauce.', 'Cover and cook, stirring occasionally, for 20 minutes.', 'Meanwhile, cook the pasta according to the instructions on the packet.', 'Drain and toss with 3 ladlefuls of the sauce in a large heated serving bowl.', 'Spoon the meatballs and remaining sauce over the top, then serve.']",nondependent_real_before,"[5, 15]",Must Step 6 happen before Step 16?,Why must Step 6 happen before Step 16?,gpt-4o-2024-05-13,basic_binary_explain,"Given a goal, a procedure to achieve that goal and a question about the steps in the procedure, you are required to answer the questions.

Goal: fusilli-and-meatballs

Procedure:
1. Coat a large saucepan with cooking spray or a teaspoon of olive oil and set over a medium-high heat.
2. Sauté the onion and garlic for about 5 minutes or until soft.
3. Transfer 2 tablespoons of the onion mixture to a large bowl.
4. Set aside.
5. Whiz the tomatoes, with their juice, in a food processor until fairly smooth.
6. Add to the saucepan.
7. Bring to the boil over medium-high heat.
8. Reduce the heat to medium-low.
9. Cover and simmer, stirring often, for 30 minutes.
10. Add the basil and oregano halfway through this time.
11. Process the bread until crumbs form.
12. Add the crumbs, beef, egg, milk and pepper to the onion mixture in the bowl and mix just until blended.
13. Shape into 20 meatballs about 2.5cm (1in) diameter.
14. Coat a frying pan with cooking spray or olive oil and set over medium-high heat.
15. Cook the meatballs, in batches, for about 8 minutes or until browned on all sides.
16. Drain on kitchen paper.
17. Add the meatballs to the tomato sauce.
18. Cover and cook, stirring occasionally, for 20 minutes.
19. Meanwhile, cook the pasta according to the instructions on the packet.
20. Drain and toss with 3 ladlefuls of the sauce in a large heated serving bowl.
21. Spoon the meatballs and remaining sauce over the top, then serve.


1. Must Step 6 happen before Step 16?
2. Explain why or why not.

Format your answer as JSON with the key value pairs ""binary_answer"": ""yes/no answer to Q1"", ""why_answer"": ""one sentence answer to Q2""",yes,"Step 6 must happen before Step 16 because the meatballs need to be added to the tomato sauce, which is prepared in Step 6.",3
717,spanish-rabbit-stew,717,"['After slicing all of your ingredients, throw them all into your slow cooker (everything in at once, couldn’t be easier right?', ').', 'I like to mix mine up, so I can take a big scoop and get a lovely mix of goodness.', 'Pour in half pint of white wine and half pint of water.', 'You might want to add a little more of each to cover your ingredients but the key rule is to keep the mixture 50/50.', ""Make sure your tarragon and bay leaf aren’t floating on the top or it won't let off any real flavour."", 'Turn your slow cooker on to low power, let it simmer for about 5 hours.', 'If your aren’t hungry once that wonderful smell fills the room, I’ll refund the cost of the ingredients!', 'Flavour with salt and pepper to taste.', 'Cook the pasta according to the packet instructions, and serve with pasta.', 'Most importantly, enjoy!']",nondependent_real_before,"[2, 8]",Must Step 3 happen before Step 9?,Why must Step 3 happen before Step 9?,gpt-4o-2024-05-13,basic_binary_explain,"Given a goal, a procedure to achieve that goal and a question about the steps in the procedure, you are required to answer the questions.

Goal: spanish-rabbit-stew

Procedure:
1. After slicing all of your ingredients, throw them all into your slow cooker (everything in at once, couldn’t be easier right?
2. ).
3. I like to mix mine up, so I can take a big scoop and get a lovely mix of goodness.
4. Pour in half pint of white wine and half pint of water.
5. You might want to add a little more of each to cover your ingredients but the key rule is to keep the mixture 50/50.
6. Make sure your tarragon and bay leaf aren’t floating on the top or it won't let off any real flavour.
7. Turn your slow cooker on to low power, let it simmer for about 5 hours.
8. If your aren’t hungry once that wonderful smell fills the room, I’ll refund the cost of the ingredients!
9. Flavour with salt and pepper to taste.
10. Cook the pasta according to the packet instructions, and serve with pasta.
11. Most importantly, enjoy!


1. Must Step 3 happen before Step 9?
2. Explain why or why not.

Format your answer as JSON with the key value pairs ""binary_answer"": ""yes/no answer to Q1"", ""why_answer"": ""one sentence answer to Q2""",yes,Mixing the ingredients ensures an even distribution of flavors before seasoning with salt and pepper.,1
719,tangy-gammon-in-cider,719,"['Preheat the oven to 200 degrees /gas mark 6.', 'Start by piercing each tomato once and covering with boiling water to loosen the skins.', 'Drain the onions and chop each one in half.', 'Once the tomatoes have been in the water for 5 minutes, drain, then remove the skins and coarsely chop into largish pieces.', 'Put the onions, tomatoes and apples into a casserole dish.', 'Take a gammon steak, lay flat, and spoon some of the mixture into the middle, then wrap the sides of the steak over the top and secure with a small skewer or piece of raw spaghetti.', 'Place in the dish and repeat with the other gammon steaks.', 'Pour cider over the steaks, cover the top with a lid or tin foil.', 'Cook for 1 hour.']",nondependent_real_before,"[0, 6]",Must Step 1 happen before Step 7?,Why must Step 1 happen before Step 7?,gpt-4o-2024-05-13,basic_binary_explain,"Given a goal, a procedure to achieve that goal and a question about the steps in the procedure, you are required to answer the questions.

Goal: tangy-gammon-in-cider

Procedure:
1. Preheat the oven to 200 degrees /gas mark 6.
2. Start by piercing each tomato once and covering with boiling water to loosen the skins.
3. Drain the onions and chop each one in half.
4. Once the tomatoes have been in the water for 5 minutes, drain, then remove the skins and coarsely chop into largish pieces.
5. Put the onions, tomatoes and apples into a casserole dish.
6. Take a gammon steak, lay flat, and spoon some of the mixture into the middle, then wrap the sides of the steak over the top and secure with a small skewer or piece of raw spaghetti.
7. Place in the dish and repeat with the other gammon steaks.
8. Pour cider over the steaks, cover the top with a lid or tin foil.
9. Cook for 1 hour.


1. Must Step 1 happen before Step 7?
2. Explain why or why not.

Format your answer as JSON with the key value pairs ""binary_answer"": ""yes/no answer to Q1"", ""why_answer"": ""one sentence answer to Q2""",yes,Preheating the oven is necessary to ensure it reaches the correct temperature for cooking the gammon steaks properly.,2
720,lemon-zested-strawberry-shortcakes,720,"['In a small bowl, combine strawberries and sugar; cover and refrigerate until serving.', 'In a bowl, combine the flour, sugar, baking powder and salt.', 'Rub the butter into the flour until the mixture resembles coarse crumbs.', 'Combine the milk, egg yolk and lemon zest; stir into crumb mixture until a soft dough forms (dough will be sticky).', 'Turn onto a lightly floured surface; knead 10 times.', 'Divide dough in half.', 'Gently pat or roll each half into a 1 .75cm thick circle.', 'Place 5cm apart on an ungreased baking tray.', 'Bake at 200 C / Gas 6 for 8-10 minutes or until golden brown.', 'Remove to a wire rack; cool for 15 minutes.', 'Meanwhile, in a small bowl, combine butter and lemon zest; set aside.', 'In a small mixing bowl, beat cream until it begins to thicken.', 'Add sugar; beat until stiff peaks form.', 'To assemble, split shortcakes in half.', 'Place cake bottoms on dessert plates; spread with lemon butter, then top each with a 1/4 of the strawberries and whipped cream.', 'Cover with shortcake top and remaining berries and cream.']",nondependent_real_before,"[11, 13]",Must Step 12 happen before Step 14?,Why must Step 12 happen before Step 14?,gpt-4o-2024-05-13,basic_binary_explain,"Given a goal, a procedure to achieve that goal and a question about the steps in the procedure, you are required to answer the questions.

Goal: lemon-zested-strawberry-shortcakes

Procedure:
1. In a small bowl, combine strawberries and sugar; cover and refrigerate until serving.
2. In a bowl, combine the flour, sugar, baking powder and salt.
3. Rub the butter into the flour until the mixture resembles coarse crumbs.
4. Combine the milk, egg yolk and lemon zest; stir into crumb mixture until a soft dough forms (dough will be sticky).
5. Turn onto a lightly floured surface; knead 10 times.
6. Divide dough in half.
7. Gently pat or roll each half into a 1 .75cm thick circle.
8. Place 5cm apart on an ungreased baking tray.
9. Bake at 200 C / Gas 6 for 8-10 minutes or until golden brown.
10. Remove to a wire rack; cool for 15 minutes.
11. Meanwhile, in a small bowl, combine butter and lemon zest; set aside.
12. In a small mixing bowl, beat cream until it begins to thicken.
13. Add sugar; beat until stiff peaks form.
14. To assemble, split shortcakes in half.
15. Place cake bottoms on dessert plates; spread with lemon butter, then top each with a 1/4 of the strawberries and whipped cream.
16. Cover with shortcake top and remaining berries and cream.


1. Must Step 12 happen before Step 14?
2. Explain why or why not.

Format your answer as JSON with the key value pairs ""binary_answer"": ""yes/no answer to Q1"", ""why_answer"": ""one sentence answer to Q2""",yes,Step 12 must happen before Step 14 because the whipped cream needs to be prepared before assembling the shortcakes.,3
721,tortellini-fritto-with-almond-butter,721,"['Bring a saucepan of water to the boil.', 'Add the tortellini and cook according to the instructions on the packet, however I recommend you slightly under cook it and drain.', 'In a non-stick shallow pan, heat some olive oil and gently fry the tortellini.', ""If you slightly undercooked your tortellini then it's less likely to stick to the pan."", 'Add some honey, salt to taste and around 2 tablespoons of the almond butter to the pan.', 'Continue to gently fry and stir the tortellini until golden brown.', 'Serve the tortellini with a drizzle of olive oil, freshly grated Parmesan cheese and green leaf salad of your choice.', 'Enjoy!']",nondependent_real_before,"[6, 7]",Must Step 7 happen before Step 8?,Why must Step 7 happen before Step 8?,gpt-4o-2024-05-13,basic_binary_explain,"Given a goal, a procedure to achieve that goal and a question about the steps in the procedure, you are required to answer the questions.

Goal: tortellini-fritto-with-almond-butter

Procedure:
1. Bring a saucepan of water to the boil.
2. Add the tortellini and cook according to the instructions on the packet, however I recommend you slightly under cook it and drain.
3. In a non-stick shallow pan, heat some olive oil and gently fry the tortellini.
4. If you slightly undercooked your tortellini then it's less likely to stick to the pan.
5. Add some honey, salt to taste and around 2 tablespoons of the almond butter to the pan.
6. Continue to gently fry and stir the tortellini until golden brown.
7. Serve the tortellini with a drizzle of olive oil, freshly grated Parmesan cheese and green leaf salad of your choice.
8. Enjoy!


1. Must Step 7 happen before Step 8?
2. Explain why or why not.

Format your answer as JSON with the key value pairs ""binary_answer"": ""yes/no answer to Q1"", ""why_answer"": ""one sentence answer to Q2""",yes,"Step 7 involves serving the tortellini, which must happen before you can enjoy it in Step 8.",1
724,brown sugar shortbread,724,"['Preheat oven to 160 C / Gas mark 3.', 'Cream butter and brown sugar.', 'Add 400g to 500g flour.', 'Mix well.', 'Sprinkle board with the remaining flour.', 'Knead for 5 minutes, adding enough flour to make a soft dough.', 'Roll to 1cm (1/2 in) thickness.', 'Cut into 7x2cm (3x1 in) strips.', 'Prick with fork and place on ungreased baking trays.', 'Bake in preheated oven for 20 to 25 minutes.']",nondependent_real_before,"[3, 4]",Must Step 4 happen before Step 5?,Why must Step 4 happen before Step 5?,gpt-4o-2024-05-13,basic_binary_explain,"Given a goal, a procedure to achieve that goal and a question about the steps in the procedure, you are required to answer the questions.

Goal: brown sugar shortbread

Procedure:
1. Preheat oven to 160 C / Gas mark 3.
2. Cream butter and brown sugar.
3. Add 400g to 500g flour.
4. Mix well.
5. Sprinkle board with the remaining flour.
6. Knead for 5 minutes, adding enough flour to make a soft dough.
7. Roll to 1cm (1/2 in) thickness.
8. Cut into 7x2cm (3x1 in) strips.
9. Prick with fork and place on ungreased baking trays.
10. Bake in preheated oven for 20 to 25 minutes.


1. Must Step 4 happen before Step 5?
2. Explain why or why not.

Format your answer as JSON with the key value pairs ""binary_answer"": ""yes/no answer to Q1"", ""why_answer"": ""one sentence answer to Q2""",yes,Step 4 must happen before Step 5 because the mixture needs to be well mixed before it is kneaded on the floured board.,3
